,Parameter_B,Stream_Flow,Stream_LCA,GREET1 sheet,Coproduct allocation method,GREET classification of coproduct,GREET row names_level1,values_level1,Unit,notes,Feedstock,Fuel,Combustion,Credits,,,,Year
148,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     Fossil Fuels,71.6215295488609,mmBtu/ton,,,,,,,,,2022
149,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     Coal,7.02108823236694,mmBtu/ton,,,,,,,,,2022
150,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     Natural Gas,38.978377623754525,mmBtu/ton,,,,,,,,,2022
151,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     Petroleum,25.622063692739424,mmBtu/ton,,,,,,,,,2022
152,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,"Water consumption, gallons/ton",7451.180378632677,gallons/ton,,,,,,,,,2022
153,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,Total Emissions: grams/ton,0.0,,,,,,,,,,2022
154,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     VOC,1612.3890427461713,g/ton,,,,,,,,,2022
155,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     CO,6450.988641706657,g/ton,,,,,,,,,2022
156,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     NOx,6969.630465955887,g/ton,,,,,,,,,2022
157,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     PM10,7232.050657603853,g/ton,,,,,,,,,2022
158,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     PM2.5,1022.3456944720041,g/ton,,,,,,,,,2022
159,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     SOx,7992.107077500846,g/ton,,,,,,,,,2022
160,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     BC,66.2813016877599,g/ton,,,,,,,,,2022
161,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     OC,92.8039422369046,g/ton,,,,,,,,,2022
162,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     CH4,12749.989283143646,g/ton,,,,,,,,,2022
163,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     N2O,1183.6683313709045,g/ton,,,,,,,,,2022
164,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     CO2,3061392.3974680468,g/ton,,,,,,,,,2022
165,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,Urban Emissions: grams/ton,0.0,,,,,,,,,,2022
166,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     VOC,91.32633535769308,g/ton,,,,,,,,,2022
167,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     CO,227.88267484655088,g/ton,,,,,,,,,2022
168,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     NOx,392.00600971789277,g/ton,,,,,,,,,2022
169,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     PM10,37.055892282325665,g/ton,,,,,,,,,2022
170,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     PM2.5,30.787294630746032,g/ton,,,,,,,,,2022
171,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     SOx,270.2236437159339,g/ton,,,,,,,,,2022
172,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     BC,2.392625743295731,g/ton,,,,,,,,,2022
173,Conversion: Input Supply Chains,APR-1 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     OC,6.35702556134901,g/ton,,,,,,,,,2022
174,Conversion: Input Supply Chains,APR-2 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,Energy Use: mmBtu/ton of product,0.0,,using placeholder Alcohol Synthesis Catalyst,,,,,,,,2022
175,Conversion: Input Supply Chains,APR-2 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     Total Energy,134.452363111804,mmBtu/ton,,,,,,,,,2022
176,Conversion: Input Supply Chains,APR-2 Catalyst,Alcohol Synthesis Catalyst,Catalyst,primary product,,     Fossil Fuels,71.6215295488609,mmBtu/ton,,,,,,,,,2022
